,ref,dir,datein,pricein,dateout,priceout,chng%,pnl%,size,value,cumpnl,nbars,mfe%,mae%
0,1,long,2019-01-15,9.7957,2019-01-23,9.98,1.88,0.0,100,979.57,16.452430000000035,6,3.56,-0.5
1,2,long,2019-01-25,10.1352,2019-02-18,10.4261,2.87,0.0,100,1013.52,43.4863000000001,11,4.59,-0.67
2,3,long,2019-02-19,10.5231,2019-03-08,11.3669,8.02,0.01,100,1052.31,125.6773000000001,13,14.1,-0.92
3,4,long,2019-03-19,11.2796,2019-03-22,11.1438,-1.2,-0.0,100,1127.96,109.85496000000013,3,0.34,-2.75
4,5,long,2019-04-01,11.0178,2019-04-10,11.1535,1.23,0.0,100,1101.78,121.20783000000013,6,5.28,-0.62
5,6,long,2019-04-17,11.5997,2019-04-23,11.3281,-2.34,-0.0,100,1159.97,91.75505000000001,4,2.01,-2.76
6,7,long,2019-05-06,11.396,2019-05-09,11.1341,-2.3,-0.0,100,1139.6000000000001,63.31203999999994,3,1.62,-5.53
7,8,long,2019-05-16,10.940199999999999,2019-05-20,10.9402,0.0,-0.0,100,1094.02,61.124000000000116,2,1.42,-0.71
8,9,long,2019-05-21,10.9887,2019-05-23,10.785,-1.85,-0.0,100,1098.87,38.576630000000165,2,1.06,-3.35
9,10,long,2019-05-28,10.8529,2019-05-30,10.8432,-0.09,-0.0,100,1085.29,35.43702000000012,2,0.98,-1.52
10,11,long,2019-06-04,10.9499,2019-06-26,11.56,5.57,0.01,100,1094.99,94.1960300000002,15,12.51,-0.27
11,12,long,2019-07-02,11.72,2019-07-03,11.62,-0.85,-0.0,100,1172.0,81.86203000000006,1,0.17,-1.79
12,13,long,2019-07-15,11.4,2019-07-18,11.53,1.14,0.0,100,1140.0,92.56902999999997,3,1.49,-1.58
13,14,long,2019-07-22,11.54,2019-07-23,11.43,-0.95,-0.0,100,1154.0,79.27203000000003,1,0.78,-0.95
14,15,long,2019-07-25,11.57,2019-08-02,11.48,-0.78,-0.0,100,1157.0,67.96703000000005,6,3.72,-1.38
15,16,long,2019-08-09,11.31,2019-08-15,11.16,-1.33,-0.0,100,1131.0,50.720030000000015,4,1.5,-1.68
16,17,long,2019-08-20,11.3,2019-08-27,11.37,0.62,0.0,100,1130.0,55.45302999999986,5,2.57,-1.33
17,18,long,2019-09-03,11.39,2019-09-18,11.94,4.83,0.01,100,1139.0,108.12002999999976,10,6.15,-0.7
18,19,long,2019-09-19,12.0,2019-09-24,11.81,-1.58,-0.0,100,1200.0,86.73902999999981,3,0.0,-2.67
19,20,long,2019-09-27,11.95,2019-10-08,11.8,-1.26,-0.0,100,1195.0,69.36402999999996,2,1.0,-1.59
20,21,long,2019-10-09,11.82,2019-10-21,12.8,8.29,0.01,100,1182.0,164.90203,8,12.77,-0.17
21,22,long,2019-10-25,13.09,2019-10-28,12.75,-2.6,-0.0,100,1309.0,128.31803000000002,1,0.0,-3.36
22,23,long,2019-11-04,12.75,2019-11-08,12.8,0.39,0.0,100,1275.0,130.7630300000001,4,3.45,-1.49
23,24,long,2019-11-19,12.2,2019-11-21,12.0,-1.64,-0.0,100,1220.0,108.34303000000017,2,0.9,-2.38
24,25,long,2019-11-26,12.15,2019-11-28,12.0,-1.23,-0.0,100,1215.0,90.92803000000013,2,0.16,-2.06
25,26,long,2019-12-06,11.92,2019-12-11,11.88,-0.34,-0.0,100,1192.0,84.54803000000022,3,0.59,-0.76
26,27,long,2019-12-12,11.99,2019-12-13,11.98,-0.08,-0.0,100,1199.0,81.15103000000025,1,1.08,-0.92
27,28,long,2019-12-16,12.12,2019-12-24,12.21,0.74,0.0,100,1212.0,87.71803000000041,6,3.55,-0.99
28,29,long,2019-12-27,12.25,2020-01-09,12.39,1.14,0.0,100,1225.0,99.25403000000047,8,3.27,-1.06
29,30,long,2020-01-14,12.4,2020-01-16,12.28,-0.97,-0.0,100,1240.0,84.78603000000037,2,2.34,-1.94
30,31,long,2020-02-10,10.76,2020-02-14,10.76,0.0,-0.0,100,1076.0,82.63403000000037,4,1.77,-0.46
31,32,long,2020-02-17,10.88,2020-02-25,11.07,1.75,0.0,100,1088.0,99.43903000000032,6,4.69,-0.18
32,33,long,2020-02-27,11.2,2020-03-02,10.95,-2.23,-0.0,100,1120.0,72.22403000000031,2,0.89,-3.12
33,34,long,2020-03-06,11.23,2020-03-10,10.71,-4.63,-0.01,100,1123.0,18.03003000000035,2,0.45,-4.72
34,35,long,2020-03-25,10.2,2020-04-01,10.11,-0.88,-0.0,100,1019.9999999999999,6.999030000000367,5,1.76,-1.18
35,36,long,2020-04-03,10.13,2020-04-07,10.3,1.68,0.0,100,1013.0000000000001,21.95603000000036,1,1.97,-0.1
36,37,long,2020-04-08,10.25,2020-04-10,10.22,-0.29,-0.0,100,1025.0,16.909030000000424,2,0.39,-0.98
37,38,long,2020-04-15,10.2,2020-04-16,10.1,-0.98,-0.0,100,1019.9999999999999,4.8790300000004585,1,0.69,-0.98
38,39,long,2020-04-20,10.15,2020-04-21,10.07,-0.79,-0.0,100,1015.0,-5.142969999999549,1,0.39,-1.38
39,40,long,2020-04-28,10.36,2020-05-07,10.45,0.87,0.0,100,1036.0,1.7760300000004374,4,4.15,-1.35
40,41,long,2020-05-20,10.37,2020-05-22,10.3,-0.68,-0.0,100,1037.0,-7.2909699999994135,2,0.68,-2.22
41,42,long,2020-05-28,10.36,2020-06-05,10.68,3.09,0.0,100,1036.0,22.605030000000617,6,4.92,0.0
42,43,long,2020-06-08,10.64,2020-06-09,10.62,-0.19,-0.0,100,1064.0,18.47903000000048,1,0.75,-0.56
43,44,long,2020-06-10,10.71,2020-06-11,10.58,-1.21,-0.0,100,1071.0,3.3500300000004017,1,0.0,-2.43
44,45,long,2020-06-18,10.42,2020-06-24,10.54,1.15,0.0,100,1042.0,13.254030000000323,4,2.5,-0.29
